"","newspaper","year","quarter","clim_article_count","avoid","science_impacts","energy_combined","ir","irenv","kremlin","putin","center","right","energy","business","government","politics","inflation","cc_disasters","t","t_2","groups","yq"
"51","Argumenty i fakty",2007,3,9,1,0.172026184547576,0.0432197825648473,0.0828065454561511,0.0194185837171972,1,1,1,0,0,1,0,0,0.43468678179987,0,7,49,"Argumenty i fakty",2007 Q3
"52","Argumenty i fakty",2007,4,2,1,0.045806716196239,0.0005146066032467,0.0023542275012005,0.0020224600157235,1,1,1,0,0,1,0,0,0.519998889874213,0,7,49,"Argumenty i fakty",2007 Q4
"53","Argumenty i fakty",2008,1,5,1,0.0937398382666288,0.0010448182729306,0.0394019998993827,0.0021178367678658,1,1,1,0,0,1,0,0,0.569963201811773,0,8,64,"Argumenty i fakty",2008 Q1
"54","Argumenty i fakty",2008,2,3,1,0.151954040513374,0.132342915370828,0.0234809491303167,0.0043781032291008,1,0,1,0,0,1,0,0,0.638828224893498,0,8,64,"Argumenty i fakty",2008 Q2
"55","Argumenty i fakty",2008,3,5,1,0.248365650302731,0.0760701793824409,0.0544496709762825,0.0137293809239054,1,0,1,0,0,1,0,0,0.640984045459332,0,8,64,"Argumenty i fakty",2008 Q3
"56","Argumenty i fakty",2008,4,5,1,0.151196515609627,0.0276118394231161,0.171397444121794,0.0113288396751159,1,0,1,0,0,1,0,0,0.600353236743511,0,8,64,"Argumenty i fakty",2008 Q4
"57","Argumenty i fakty",2009,1,2,1,0.0725738010951318,0.000625277069048,0.0695833656245668,0.0004196982481517,1,0,1,0,0,1,0,0,0.599927491209863,0,9,81,"Argumenty i fakty",2009 Q1
"58","Argumenty i fakty",2009,2,4,1,0.204114381980617,0.0432211352272134,0.0245248792598431,0.0004148090447416,1,0,1,0,0,1,0,0,0.555621838291579,0,9,81,"Argumenty i fakty",2009 Q2
"59","Argumenty i fakty",2009,3,2,1,0.100443881761748,0.0004340710511314,0.0005712031852454,0.0015792336780578,1,0,1,0,0,1,0,0,0.521655199370088,0,9,81,"Argumenty i fakty",2009 Q3
"60","Argumenty i fakty",2009,4,12,1,0.173378095278167,0.0704009966689228,0.0418647034530295,0.0086350035544456,1,0,1,0,0,1,0,0,0.445392255695573,0,9,81,"Argumenty i fakty",2009 Q4
"61","Argumenty i fakty",2010,1,5,1,0.310512546959217,0.0004461978069231,0.0164949450618224,0.003269377615652,1,0,1,0,0,1,0,0,0.377569819677756,0.25,10,100,"Argumenty i fakty",2010 Q1
"62","Argumenty i fakty",2010,2,4,1,0.100598923527286,0.0723089794610132,0.0370961410599193,0.005100378413772,1,0,1,0,0,1,0,0,0.333034150335597,1,10,100,"Argumenty i fakty",2010 Q2
"63","Argumenty i fakty",2010,3,9,1,0.204086034951615,0.0116919849670012,0.0434452142508235,0.0068191855680197,1,0,1,0,0,1,0,0,0.342072659713514,1,10,100,"Argumenty i fakty",2010 Q3
"64","Argumenty i fakty",2010,4,5,1,0.303851372096687,0.010765101976176,0.0754898103377855,0.0035109314376314,1,0,1,0,0,1,0,0,0.40807347402584,0.25,10,100,"Argumenty i fakty",2010 Q4
"65","Argumenty i fakty",2011,1,6,1,0.190038863700465,0.0133642549126307,0.0588765509455698,0.0028030613357259,1,0,1,0,0,1,0,0,0.455390388676189,0,11,121,"Argumenty i fakty",2011 Q1
"66","Argumenty i fakty",2011,2,4,1,0.113953720385325,0.102941510466735,0.0743077474417077,0.003117027317785,1,0,1,0,0,1,0,0,0.456345458850721,0,11,121,"Argumenty i fakty",2011 Q2
"67","Argumenty i fakty",2011,3,5,1,0.230719005310675,0.0292113915165828,0.0112424708249819,0.0036051116439921,1,0,1,0,0,1,0,0,0.407920945565804,0.25,11,121,"Argumenty i fakty",2011 Q3
"68","Argumenty i fakty",2011,4,5,1,0.101951742806705,0.0406041828418893,0.0670081244088578,0.0021707809719373,1,0,1,0,0,1,0,0,0.359477785992542,0,11,121,"Argumenty i fakty",2011 Q4
"69","Argumenty i fakty",2012,1,4,1,0.0821070678066462,0.0226466186395555,0.0648718924248897,0.0049028476241801,1,0,1,0,0,1,0,0,0.262914361820935,0.5,12,144,"Argumenty i fakty",2012 Q1
"70","Argumenty i fakty",2012,2,3,1,0.222272845785483,0.041569353250452,0.0337259283514868,0.0002500981063349,1,0,1,0,0,1,0,0,0.261877466542235,0.25,12,144,"Argumenty i fakty",2012 Q2
"71","Argumenty i fakty",2012,3,3,1,0.161548163392581,0.0020256719035388,0.0240713817402138,0.0004206398443785,1,0,1,0,0,1,0,0,0.336753231092706,0.75,12,144,"Argumenty i fakty",2012 Q3
"72","Argumenty i fakty",2012,4,4,1,0.23176494782092,0.0044261562388784,0.0067933739619548,0.0049551926167624,1,0,1,0,0,1,0,0,0.353348120363635,0.25,12,144,"Argumenty i fakty",2012 Q4
"73","Argumenty i fakty",2013,1,2,1,0.338038829620927,0.000477913486975,0.014256338999985,0.0019357139826752,1,0,1,0,0,1,0,0,0.373818785238483,0,13,169,"Argumenty i fakty",2013 Q1
"74","Argumenty i fakty",2013,2,3,1,0.317723958287388,0.002281435419718,0.0053977001389285,0.0071716867532814,1,1,1,0,0,1,0,0,0.375767060548448,0,13,169,"Argumenty i fakty",2013 Q2
"75","Argumenty i fakty",2013,3,5,1,0.213565391575685,0.0004524900341493,0.0098929816504097,0.0003037202259293,1,1,1,0,0,1,0,0,0.348526051317978,0,13,169,"Argumenty i fakty",2013 Q3
"76","Argumenty i fakty",2013,4,9,1,0.173468002962181,0.0241870158088204,0.0472779486349282,0.0036775932767341,1,1,1,0,0,1,0,0,0.349940198120343,0,13,169,"Argumenty i fakty",2013 Q4
"77","Argumenty i fakty",2014,1,2,1,0.192656664497917,0.0487853974445897,0.0856230978679377,0.0018679365894059,0,1,1,0,0,0,1,0,0.349406923380523,0,14,196,"Argumenty i fakty",2014 Q1
"78","Argumenty i fakty",2014,2,3,1,0.190638156724162,0.0132490788528231,0.029629026479597,0.0052487512366497,0,1,1,0,0,0,1,0,0.389556355054062,0,14,196,"Argumenty i fakty",2014 Q2
"189","E'konomika i zhizn'",2000,1,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0.25,0,0,"E'konomika i zhizn'",2000 Q1
"190","E'konomika i zhizn'",2000,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.808812707151812,0.25,0,0,"E'konomika i zhizn'",2000 Q2
"191","E'konomika i zhizn'",2000,3,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.774180926210774,0.25,0,0,"E'konomika i zhizn'",2000 Q3
"192","E'konomika i zhizn'",2000,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.806229319681063,0.25,0,0,"E'konomika i zhizn'",2000 Q4
"193","E'konomika i zhizn'",2001,1,1,1,0.0749597621615976,0.0203709687339141,0.0006654336975771,0.0036503034643829,1,1,1,0,0,0,0,0,0.891478374158858,0.75,1,1,"E'konomika i zhizn'",2001 Q1
"194","E'konomika i zhizn'",2001,2,1,1,0.0155797991901636,0.0004218728354317,0.000555151294975,0.0002831693273038,1,1,1,0,0,0,0,0,0.96745038792419,0.25,1,1,"E'konomika i zhizn'",2001 Q2
"195","E'konomika i zhizn'",2001,3,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.846699847725394,0.25,1,1,"E'konomika i zhizn'",2001 Q3
"196","E'konomika i zhizn'",2001,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.769856421644534,0.25,1,1,"E'konomika i zhizn'",2001 Q4
"197","E'konomika i zhizn'",2002,1,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.739804592589926,0.25,2,4,"E'konomika i zhizn'",2002 Q1
"198","E'konomika i zhizn'",2002,2,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.66188598828305,0,2,4,"E'konomika i zhizn'",2002 Q2
"199","E'konomika i zhizn'",2002,3,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.642242840676197,0,2,4,"E'konomika i zhizn'",2002 Q3
"200","E'konomika i zhizn'",2002,4,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.643574035400923,0.5,2,4,"E'konomika i zhizn'",2002 Q4
"201","E'konomika i zhizn'",2003,1,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.630333463140187,0,3,9,"E'konomika i zhizn'",2003 Q1
"202","E'konomika i zhizn'",2003,2,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.610776261489993,0,3,9,"E'konomika i zhizn'",2003 Q2
"203","E'konomika i zhizn'",2003,3,NA,0,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0.592493336712433,0.25,3,9,"E'konomika i zhizn'",2003 Q3
"204","E'konomika i zhizn'",2003,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.559013345426328,0,3,9,"E'konomika i zhizn'",2003 Q4
"205","E'konomika i zhizn'",2004,1,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.495309291665186,0,4,16,"E'konomika i zhizn'",2004 Q1
"206","E'konomika i zhizn'",2004,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.477891290568014,0.25,4,16,"E'konomika i zhizn'",2004 Q2
"207","E'konomika i zhizn'",2004,3,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.507187933561066,0.5,4,16,"E'konomika i zhizn'",2004 Q3
"208","E'konomika i zhizn'",2004,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.529112007172651,0,4,16,"E'konomika i zhizn'",2004 Q4
"209","E'konomika i zhizn'",2005,1,1,1,0.0646671876311302,0.0056497069381294,0.0818849618881359,0.0002690493129194,1,1,1,0,0,0,0,0,0.577889240386982,0.5,5,25,"E'konomika i zhizn'",2005 Q1
"210","E'konomika i zhizn'",2005,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.600440662564324,0,5,25,"E'konomika i zhizn'",2005 Q2
"211","E'konomika i zhizn'",2005,3,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.56397920034994,0,5,25,"E'konomika i zhizn'",2005 Q3
"212","E'konomika i zhizn'",2005,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.516752295590889,0,5,25,"E'konomika i zhizn'",2005 Q4
"213","E'konomika i zhizn'",2006,1,1,1,0.0983130994718522,0.0360088954330423,0.000511364574777,0.0002608347858768,1,1,1,0,0,0,0,0,0.501506621236659,0.25,6,36,"E'konomika i zhizn'",2006 Q1
"214","E'konomika i zhizn'",2006,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.452982615546285,0,6,36,"E'konomika i zhizn'",2006 Q2
"215","E'konomika i zhizn'",2006,3,1,1,0.0589602086110972,0.101224122103304,0.0005475886646309,0.035698339343071,1,1,1,0,0,0,0,0,0.452584919130148,0,6,36,"E'konomika i zhizn'",2006 Q3
"216","E'konomika i zhizn'",2006,4,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.440804676816964,0,6,36,"E'konomika i zhizn'",2006 Q4
"217","E'konomika i zhizn'",2007,1,1,1,0.215744251094293,0.0026558551617199,0.0050709900897346,0.0002361956576351,1,1,1,0,0,0,0,0,0.39465240387255,0.25,7,49,"E'konomika i zhizn'",2007 Q1
"218","E'konomika i zhizn'",2007,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0.402187883530274,0,7,49,"E'konomika i zhizn'",2007 Q2
"219","E'konomika i zhizn'",2007,3,1,1,0.0159996934235096,0.0003679995497805,0.0004842583293794,0.0026564477011561,1,1,1,0,0,0,0,0,0.43468678179987,0,7,49,"E'konomika i zhizn'",2007 Q3
"220","E'konomika i zhizn'",2007,4,1,1,0.0594183217035607,0.058138413944107,0.0084007748737349,0.0002690493129194,1,1,1,0,0,0,0,0,0.519998889874213,0,7,49,"E'konomika i zhizn'",2007 Q4
"221","E'konomika i zhizn'",2008,1,5,1,0.036527679530991,0.0379394747001243,0.0108695772469218,0.0023664411583013,1,1,1,0,0,0,0,0,0.569963201811773,0,8,64,"E'konomika i zhizn'",2008 Q1
"222","E'konomika i zhizn'",2008,2,1,1,0.235099079902284,0.0004050889765494,0.0111421775000054,0.0002719037001953,1,0,1,0,0,0,0,0,0.638828224893498,0,8,64,"E'konomika i zhizn'",2008 Q2
"223","E'konomika i zhizn'",2008,3,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.640984045459332,0,8,64,"E'konomika i zhizn'",2008 Q3
"224","E'konomika i zhizn'",2008,4,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.600353236743511,0,8,64,"E'konomika i zhizn'",2008 Q4
"225","E'konomika i zhizn'",2009,1,3,1,0.0567972598946653,0.0171519359719241,0.20707913244587,0.0079778786748648,1,0,1,0,0,0,0,0,0.599927491209863,0,9,81,"E'konomika i zhizn'",2009 Q1
"226","E'konomika i zhizn'",2009,2,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.555621838291579,0,9,81,"E'konomika i zhizn'",2009 Q2
"227","E'konomika i zhizn'",2009,3,1,1,0.0020073777996003,0.0506300721099251,0.0006299756059889,0.0003213353920728,1,0,1,0,0,0,0,0,0.521655199370088,0,9,81,"E'konomika i zhizn'",2009 Q3
"228","E'konomika i zhizn'",2009,4,1,1,0.132516767829657,0.32906182311126,0.204944983124733,0.0204070433974266,1,0,1,0,0,0,0,0,0.445392255695573,0,9,81,"E'konomika i zhizn'",2009 Q4
"229","E'konomika i zhizn'",2010,1,1,1,0.0062712756916881,0.318626569525804,0.0028524604276754,0.121373750269413,1,0,1,0,0,0,0,0,0.377569819677756,0.25,10,100,"E'konomika i zhizn'",2010 Q1
"230","E'konomika i zhizn'",2010,2,3,1,0.009353495464893,0.0430494310567156,0.267278608909692,0.0031751328206155,1,0,1,0,0,0,0,0,0.333034150335597,1,10,100,"E'konomika i zhizn'",2010 Q2
"231","E'konomika i zhizn'",2010,3,2,1,0.185447234543972,0.0003316441761853,0.003842653326501,0.0364823961135698,1,0,1,0,0,0,0,0,0.342072659713514,1,10,100,"E'konomika i zhizn'",2010 Q3
"232","E'konomika i zhizn'",2010,4,1,1,0.028612133814022,0.0005719581022276,0.0007526516419603,0.0003839095006697,1,0,1,0,0,0,0,0,0.40807347402584,0.25,10,100,"E'konomika i zhizn'",2010 Q4
"233","E'konomika i zhizn'",2011,1,2,1,0.036107022780925,0.0018953764956677,0.0509958457041648,0.0021411967027234,1,0,1,0,0,0,0,0,0.455390388676189,0,11,121,"E'konomika i zhizn'",2011 Q1
"234","E'konomika i zhizn'",2011,2,2,1,0.276721917791292,0.0362955345954105,0.191912077421875,0.0121816833998309,1,0,1,0,0,0,0,0,0.456345458850721,0,11,121,"E'konomika i zhizn'",2011 Q2
"235","E'konomika i zhizn'",2011,3,4,1,0.0044230946004973,0.009163970200916,0.0002807814355492,0.000050538566029,1,0,1,0,0,0,0,0,0.407920945565804,0.25,11,121,"E'konomika i zhizn'",2011 Q3
"236","E'konomika i zhizn'",2011,4,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.359477785992542,0,11,121,"E'konomika i zhizn'",2011 Q4
"237","E'konomika i zhizn'",2012,1,2,1,0.173739589954494,0.2105476578854,0.0683902476066578,0.0002376188713242,1,0,1,0,0,0,0,0,0.262914361820935,0.5,12,144,"E'konomika i zhizn'",2012 Q1
"238","E'konomika i zhizn'",2012,2,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.261877466542235,0.25,12,144,"E'konomika i zhizn'",2012 Q2
"239","E'konomika i zhizn'",2012,3,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.336753231092706,0.75,12,144,"E'konomika i zhizn'",2012 Q3
"240","E'konomika i zhizn'",2012,4,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0.353348120363635,0.25,12,144,"E'konomika i zhizn'",2012 Q4
"241","E'konomika i zhizn'",2013,1,1,1,0.125979921780527,0.0003876120536006,0.000510066820425,0.0002601728192531,1,0,1,0,0,0,0,0,0.373818785238483,0,13,169,"E'konomika i zhizn'",2013 Q1
"242","E'konomika i zhizn'",2013,2,1,1,0.134725195355713,0.0004230413542246,0.0005566889740294,0.0058235926553607,1,1,1,0,0,0,0,0,0.375767060548448,0,13,169,"E'konomika i zhizn'",2013 Q2
"243","E'konomika i zhizn'",2013,3,1,1,0.0832633674144745,0.20708081475459,0.0004830943435082,0.0026500625535846,1,1,1,0,0,0,0,0,0.348526051317978,0,13,169,"E'konomika i zhizn'",2013 Q3
"244","E'konomika i zhizn'",2013,4,1,1,0.261380383744836,0.179601469448244,0.0005219894082984,0.0002662542683538,1,1,1,0,0,0,0,0,0.349940198120343,0,13,169,"E'konomika i zhizn'",2013 Q4
"245","E'konomika i zhizn'",2014,1,2,1,0.0181807665794622,0.0032556725309406,0.0015728366488474,0.000289539777441,1,1,1,0,0,0,0,0,0.349406923380523,0,14,196,"E'konomika i zhizn'",2014 Q1
"246","E'konomika i zhizn'",2014,2,1,1,0.197076821641531,0.110648949259485,0.0080218252260238,0.0002569128118921,1,1,1,0,0,0,0,0,0.389556355054062,0,14,196,"E'konomika i zhizn'",2014 Q2
"273","E'kspert",2000,1,2,1,0.326581176370382,0.0003315925569041,0.0230859031653381,0.0002225714415545,1,1,0,1,0,0,0,0,1,0.25,0,0,"E'kspert",2000 Q1
"274","E'kspert",2000,2,1,1,0.0884859806392342,0.424597959266976,0.0035565130019677,0.0001139034575317,1,1,0,1,0,0,0,0,0.808812707151812,0.25,0,0,"E'kspert",2000 Q2
"275","E'kspert",2000,3,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,0.774180926210774,0.25,0,0,"E'kspert",2000 Q3
"276","E'kspert",2000,4,3,1,0.0474135404947447,0.305835483608462,0.0007448798805854,0.009355385111121,1,1,0,1,0,0,0,0,0.806229319681063,0.25,0,0,"E'kspert",2000 Q4
"277","E'kspert",2001,1,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,0.891478374158858,0.75,1,1,"E'kspert",2001 Q1
"278","E'kspert",2001,2,6,1,0.165190953928686,0.0633025505940169,0.110866156969678,0.116711285998463,1,1,0,1,0,0,0,0,0.96745038792419,0.25,1,1,"E'kspert",2001 Q2
"279","E'kspert",2001,3,2,1,0.0387022078211885,0.0228732244868298,0.0004834365881834,0.246525163573097,1,1,0,1,0,0,0,0,0.846699847725394,0.25,1,1,"E'kspert",2001 Q3
"280","E'kspert",2001,4,3,1,0.241912537225289,0.0092814416948386,0.0281678670526162,0.0022709948898409,1,1,0,1,0,0,0,0,0.769856421644534,0.25,1,1,"E'kspert",2001 Q4
"281","E'kspert",2002,1,4,1,0.109106243267888,0.0510265090215398,0.0190377636617995,0.209189831133699,1,1,0,1,0,0,0,0,0.739804592589926,0.25,2,4,"E'kspert",2002 Q1
"282","E'kspert",2002,2,1,1,0.056738028244581,0.0003827551772701,0.0055157754104585,0.0002569128118921,1,1,0,1,0,0,0,0,0.66188598828305,0,2,4,"E'kspert",2002 Q2
"283","E'kspert",2002,3,6,1,0.173687601120037,0.0009115336629293,0.0279982193537762,0.111107015382004,1,1,0,1,0,0,0,0,0.642242840676197,0,2,4,"E'kspert",2002 Q3
"284","E'kspert",2002,4,1,1,0.767696649825666,0.109823283943115,0.000499917070556,0.0002549957134761,1,1,0,1,0,0,0,0,0.643574035400923,0.5,2,4,"E'kspert",2002 Q4
"285","E'kspert",2003,1,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,0.630333463140187,0,3,9,"E'kspert",2003 Q1
"286","E'kspert",2003,2,1,1,0.0016049306723289,0.0003827551772701,0.0882154090795666,0.0002569128118921,1,1,0,1,0,0,0,0,0.610776261489993,0,3,9,"E'kspert",2003 Q2
"287","E'kspert",2003,3,2,1,0.76030245074071,0.0091840547393076,0.0004795959648618,0.0178838274441659,1,1,0,1,0,0,0,0,0.592493336712433,0.25,3,9,"E'kspert",2003 Q3
"288","E'kspert",2003,4,6,1,0.351662642991869,0.0140247909598657,0.0349703669876362,0.044517864910631,1,1,0,1,0,0,0,0,0.559013345426328,0,3,9,"E'kspert",2003 Q4
"289","E'kspert",2004,1,2,1,0.125773913110606,0.0297732579583681,0.0222997258488249,0.0019649359201139,1,1,0,1,0,0,0,0,0.495309291665186,0,4,16,"E'kspert",2004 Q1
"290","E'kspert",2004,2,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,0.477891290568014,0.25,4,16,"E'kspert",2004 Q2
"291","E'kspert",2004,3,4,1,0.333329874571064,0.0852268564381121,0.0004701495904556,0.007111978418834,1,1,0,1,0,0,0,0,0.507187933561066,0.5,4,16,"E'kspert",2004 Q3
"292","E'kspert",2004,4,5,1,0.091057340730913,0.0163177409913259,0.0610550394792427,0.174374228232409,1,1,0,1,0,0,0,0,0.529112007172651,0,4,16,"E'kspert",2004 Q4
"293","E'kspert",2005,1,4,1,0.0733975928887958,0.0346210091283865,0.0886722510003892,0.0008425202777289,1,1,0,1,0,0,0,0,0.577889240386982,0.5,5,25,"E'kspert",2005 Q1
"294","E'kspert",2005,2,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,0.600440662564324,0,5,25,"E'kspert",2005 Q2
"295","E'kspert",2005,3,5,1,0.0603574049309827,0.14609525766582,0.0247432407390989,0.0002379200141149,1,1,0,1,0,0,0,0,0.56397920034994,0,5,25,"E'kspert",2005 Q3
